,token,valid,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,ego_progress,time_to_collision_within_bound,comfort,score
0,c849fb5493be5a70,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334
1,b523d101fb0958c3,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2,c3c375ac03435ee2,True,1.0,1.0,1.0,0.4540922323799819,1.0,1.0,0.7725384301583258
3,4a4c046eff125fca,True,1.0,1.0,1.0,0.7342248753380965,1.0,1.0,0.8892603647242069
4,9587d6ea0a8e518f,True,1.0,1.0,1.0,0.6085599422460384,1.0,1.0,0.8368999759358493
5,e5e21bbf8d665374,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6,faf8f696fd8a5298,True,1.0,1.0,1.0,0.8251495607155924,1.0,1.0,0.9271456502981635
7,e982719caf425a10,True,1.0,1.0,1.0,0.6587235239160366,1.0,1.0,0.8578014682983485
8,09b2f0291de85466,True,1.0,1.0,1.0,0.7290402261074105,1.0,1.0,0.8871000942114211
9,8cfce2bdf24a5260,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334
10,1661065c080c51d8,True,1.0,1.0,1.0,0.8223962976904133,1.0,1.0,0.9259984573710055
11,d49c7581099d56be,True,1.0,1.0,1.0,1.0,0.0,1.0,0.5833333333333334
12,a117c55be29c5412,True,1.0,1.0,1.0,0.7408664949019639,1.0,1.0,0.8920277062091516
13,2bf7a51839cb59eb,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0
14,da0aac1f6c225eca,True,1.0,1.0,1.0,0.3313705317731901,1.0,1.0,0.7214043882388292
15,66368e570f415f55,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0
16,70d9aa5a289157c2,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0
17,371a6b4bc47d5d87,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0
18,a5725e330a565f84,True,1.0,1.0,1.0,0.674441687065172,1.0,1.0,0.8643507029438217
19,b74b5977823b527a,True,1.0,0.0,1.0,0.0,1.0,1.0,0.0
20,e37f3f28d9bb5445,True,1.0,1.0,1.0,0.7342631155588104,1.0,1.0,0.8892762981495044
21,4909b88b347c5764,True,1.0,1.0,1.0,0.7490207437063345,1.0,1.0,0.8954253098776395
